Smiles,logSw
O=C(O)C[C@@H]1C=C2[C@H]3CCC4[C@@](C)(CCC5[C@@H](C)[C@H](CCC45C=O)OOC(=O)C4(C)CC=C5C6CCC7C(C)(CCC8C7(C=O)CCC(OC7OC(C(=O)O)C(O)C(O)C7OC7OCC(O)C(O)C7O)C8(C)C)C6(C)CCC5(C)C4)C3(C)CC[C@@]2(C)CC1,2.342422681
OC1[C@@H](OC(CO)[C@H](Cl)C1O)O[C@]1(CCl)O[C@H](CO)C(Cl)C1O,2.342422681
O(C(C)(C)C)C(=O)CCNC(=O)C(N)CC(O)=O,2.36
O=C(CC(NC(=O)[C@H](N)CC(=O)O)CO)OCCC,2.39
O(C(=O)CC(NC(=O)C(N)CC(O)=O)C)C,2.43
O=C(OC1CCCC1)C(NC(=O)C(N)CC(=O)O)C(=O)OCC,2.44
O=C(CC(NC(=O)[C@H](N)CC(=O)O)C(=O)OCC)OC1CCCC1,2.44
OC1[C@@H](OC(CO)[C@H](Cl)C1O)O[C@]1(CCl)O[C@H](CCl)C(OC)C1O,2.477121255
O(C(=O)C)CC(NC(=O)C(N)CC(O)=O)C(O)C,2.48
O(C(C)(C)C)C(=O)C(CNC(=O)C(N)CC(O)=O)C,2.51
O=C(O)CN\C(=N/c1ccc(cc1)C#N)NCC,2.544068044
O(C(=O)CCC)CCNC(=O)C(N)CC(O)=O,2.56
Fc1ccc(cc1)CCNC(=O)C(N)CC(O)=O,2.57
OC1[C@@H](OC(CO)[C@H](Br)C1O)O[C@]1(CCl)O[C@H](CCl)C(O)C1O,2.574031268
O(C(=O)CCC)CC(NC(=O)C(N)CC(O)=O)CO,2.58
O(C(CC)C)C(=O)CC(NC(=O)C(N)CC(O)=O)C,2.6
O(C(CC)CC)C(=O)CCNC(=O)C(N)CC(O)=O,2.6
O(C(=O)CC(NC(=O)C(N)CC(O)=O)C(OC)=O)CC,2.6
O(C(=O)CCCC)CC(NC(=O)C(N)CC(O)=O)C,2.6
O=C(O)CC(NCCCC)C(=O)NC(Cc1ccccc1)C(=O)OC,2.6
CC(=O)OC1C(=O)c2c(cc(O)cc2O)OC1c1ccc(OC)c(O)c1,2.602059991
OC1[C@@H](OC(C)[C@H](Cl)C1O)O[C@]1(CCl)O[C@H](CCl)C(O)C1O,2.602059991
O(C(=O)CC)CCNC(=O)C(N)CC(O)=O,2.61
O(C(=O)CC(NC(=O)C(N)CC(O)=O)C)C1CCCCC1,2.64
O(C(=O)C)CC(NC(=O)C(N)CC(O)=O)CCC,2.66
O(C(C)(C)C)C(=O)CC(NC(=O)C(N)CC(O)=O)C,2.68
O(C(CCC)C)C(=O)CCNC(=O)C(N)CC(O)=O,2.68
O(C(=O)CNC(=O)C(N)CC(O)=O)C,2.68
O(C(=O)C(NC(=O)C(N)CC(O)=O)C)CCCCC,2.68
O=C(OC1CCCCC1)C(NC(=O)C(N)CC(=O)O)C(=O)OCC,2.68
O=C(OC1CCCCC1)CC(NC(=O)[C@H](N)CC(=O)O)C(=O)OCC,2.68
O=C(O)CC(NCC(C)C)C(=O)NC(Cc1ccccc1)C(=O)OC,2.69
OC1[C@@H](OC(COC)[C@H](Cl)C1O)O[C@]1(CCl)O[C@H](CCl)C(O)C1O,2.698970004
ClC1C(O)C(O)C(OC1CO)O[C@@]1(OC(CO)C(O)C1O)CO,2.7
O(C(C)C)C(=O)CCNC(=O)C(N)CC(O)=O,2.7
O(C(CC)C)C(=O)CCNC(=O)C(N)CC(O)=O,2.73
